"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison","status"
"AC118549.1",2.0800012740613e-53,9.26835188365478,0.019,0,5.76451553093347e-49,"AC118549.1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"DELE1",3.41528550968541e-53,9.15023177698163,0.019,0,9.46512226154213e-49,"DELE1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"ATP2B1-AS1",3.41528554884696e-53,9.23823091824672,0.019,0,9.46512237007445e-49,"ATP2B1-AS1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"WDR18",4.27698749177981e-53,1.29955481159378,0.08,0.035,1.18532431347186e-48,"WDR18","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"IL21R",1.38818766524923e-52,1.28679579358977,0.093,0.044,3.84722329547172e-48,"IL21R","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"PLPBP",4.0741633060119e-52,9.06429622751299,0.019,0,1.12911361862814e-47,"PLPBP","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"STN1",6.68836259634792e-52,9.07387921912479,0.019,0,1.85361280995186e-47,"STN1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"AC012615.1",6.68836261825187e-52,9.25804802715702,0.019,0,1.85361281602232e-47,"AC012615.1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"MUC20-OT1",1.09796280788288e-51,9.18258620614962,0.019,0,3.04289412576662e-47,"MUC20-OT1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"RMC1",1.09796281327608e-51,9.2033774767921,0.019,0,3.04289414071334e-47,"RMC1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"SMIM27",1.80236160421007e-51,9.04259423506412,0.019,0,4.99506494990779e-47,"SMIM27","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"MINDY2",3.52440398098375e-50,9.1261209592569,0.018,0,9.76753319289838e-46,"MINDY2","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"MTREX",2.55651854640893e-49,9.00914132303103,0.018,0,7.0851354995177e-45,"MTREX","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"BET1L",4.28386951435112e-49,1.15151553198196,0.106,0.056,1.18723159720727e-44,"BET1L","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"SPOUT1",4.99000694016786e-48,8.99816792401931,0.017,0,1.38293052339812e-43,"SPOUT1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"ETFRF1",4.99000694016786e-48,8.89500334720891,0.017,0,1.38293052339812e-43,"ETFRF1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"MRM3",8.18712131078672e-48,9.15350942257092,0.017,0,2.26897880007143e-43,"MRM3","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"ELOA",3.61530266345852e-47,9.03012258876695,0.017,0,1.0019449801509e-42,"ELOA","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"MIA2",3.69671381469629e-47,5.9876842404214,0.017,0,1.02450726660493e-42,"MIA2","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"AL357060.1",4.29451163127616e-46,8.99553418532094,0.017,0,1.19018095349188e-41,"AL357060.1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"AC008555.5",7.04417330567131e-46,8.7335828502991,0.017,0,1.95222218993375e-41,"AC008555.5","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"VIRMA",1.15540400812119e-45,9.0200440379471,0.016,0,3.20208666810708e-41,"VIRMA","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"DIABLO.1",1.8950703716755e-45,8.99999479902695,0.016,0,5.2519980280615e-41,"DIABLO.1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
